id|iso_country|slug_place|latitude|longitude|nearest_iata_code|kdtree_dist_ns_cities_id
mx:lazaro cardenas|mx|Lazaro Cardenas|17.95587250740398|-102.19242095947266|LZC|0.0021239683812236897|
es:costa de almeria|es|Costa de Almeria|36.8333|-2.4333|LEI|0.004459820624195524|
es:lleida|es|Lleida|41.61759|0.620015|REU|0.6713432760704447|
cl:los ángeles|cl|Los Ángeles|-37.462916|-72.361225|LSQ|0.0031628596238225523|
mx:los mochis|mx|Los Mochis|25.790466|-108.985882|LMM|0.014125688655775157|
es:la manga|es|La Manga|37.73353011630549|-0.736348106607295|MJV|0.4644450632098981|
ec:loja|ec|Loja|-4.0078909|-79.21127690000003|LOH|0.01793640923986933|
mx:loreto|mx|Loreto|26.012778|-111.343333|LTO|0.008383267441748339|
ar:san luis|ar|San Luis|-33.301727|-66.337752|LUQ|0.012369156519342723|
es:cadiz|es|Cadiz|36.527061|-6.288596|CDZ|0.06408961645227679|
ar:mendoza|ar|Mendoza|-32.89068924310892|-68.83942262098383|MDZ|0.023989017118139774|
pe:machu picchu|pe|Machu Picchu|-13.163333|-72.545556|AG1|0.014936297533869864|
cr:monteverde|cr|Monteverde|10.314256|-84.825022|A19|0.24738014071465078|
mx:morelia|mx|Morelia|19.70829156809556|-101.19300334723606|MLM|0.025351662560003152|
ec:manta|ec|Manta|-0.950022|-80.7162|MEC|0.03300182546466316|
co:monteria|co|Monteria|8.75|-75.883333|MTR|0.010034883606704249|
uy:montevideo|uy|Montevideo|-34.883611|-56.181944|MVD|0.02781214944948027|
co:manizales|co|Manizales|5.050201209841063|-75.49077115188713|MZL|0.03082761506480524|
co:neiva|co|Neiva|2.998611|-75.304444|NVA|0.07235066590571261|
za:northern cape|za|Northern Cape|-27.137368359795584|22.17041015625|UTN|1.6228757554563364|
mx:oaxaca|mx|Oaxaca|17.062036080716222|-96.7236328125|OAX|0.05756919922429684|
es:córdoba|es|Córdoba |37.8881751|-4.7793835|ODB|0.012445173050622052|
es:ourense|es|Ourense|42.335789|-7.863881|SCQ|0.8706066966673304|
mx:riviera maya|mx|Riviera Maya|20.556938|-87.206039|PT3|0.05558198597567327|
uy:punta del este|uy|Punta del Este|-34.966667|-54.95|PDP|0.00333299999999781|
pe:piura|pe|Piura|-5.2|-80.633333|PIU|0.010540820129381828|
bz:placencia|bz|Placencia|16.52116|-88.37128|PLJ|0.006392808459513099|
ar:puerto madryn|ar|Puerto Madryn|-42.766667|-65.05|PMY|0.010540820129375648|
cl:puerto natales|cl|Puerto Natales|-51.730894|-72.497741|PNT|0.01880059884684515|
do:puerto plata|do|Puerto Plata|19.8|-70.683333|POP|0.0119664401139201|
mx:puerto peñasco|mx|Puerto Peñasco|31.326822|-113.531184|PPE|0.006064218003999283|
co:pasto|co|Pasto|1.207778|-77.277222|PSO|0.006995324724414302|
mx:puebla|mx|Puebla|19.042898419084807|-98.19639392724905|PBC|0.007964685315831664|
do:punta cana|do|Punta Cana|18.58|-68.41|PUJ|0.004953295511063578|
cl:punta arenas|cl|Punta Arenas|-53.163833|-70.917068|PUQ|0.022961674873577517|
cl:puerto varas|cl|Puerto Varas|-41.3167|-72.9833|PTV|0.014892279879184369|
cr:tortuguero|cr|Tortuguero|10.541667|-83.503333|TTQ|0.001261577583820508|
mx:puerto vallarta|mx|Puerto Vallarta|20.615224819553134|-105.23209574988083|PVR|0.06320646823285112|
mx:queretaro|mx|Queretaro|20.5875|-100.392778|QRO|0.04437935650728084|
ar:rosario|ar|Rosario|-32.95|-60.666667|ROS|0.0011596072610950787|
do:la romana|do|La Romana|18.43|-68.97|LRM|0.013437261625790637|
mx:saltillo|mx|Saltillo|25.426724|-100.995425|SLW|0.011700119700239922|
es:a coruña|es|A Coruña|43.362344|-8.41154|LCG|0.03343210935612821|
es:salamanca|es|Salamanca|40.9701039|-5.6635397|SLM|0.006467082131842406|
co:santa marta|co|Santa Marta|11.221380123161254|-74.10654961290386|SMR|0.09859139011350511|
ec:salinas|ec|Salinas|-2.2068672695965557|-80.966458535695|C20|0.03423724900507576|
es:soria|es|Soria|41.766667|-2.466667|RJL|0.7046875933191954|
bz:ambergris caye|bz|Ambergris Caye|17.957463177298507|-87.95252629518747|SPR|0.041234258252248|
bz:san ignacio|bz|San Ignacio|17.152279|-89.080023|TKM|0.5382125068873802|
mx:tampico|mx|Tampico|22.21355779482083|-97.84586300849725|TAM|0.0897488116636769|
pe:tumbes|pe|Tumbes|-3.566667|-80.45|TBP|0.010540820129374105|
mx:toluca|mx|Toluca|19.2925|-99.656944|TLC|0.04008577223904003|
pe:tacna|pe|Tacna|-18.055556|-70.248333|TCQ|0.05558100417408732|
es:teruel|es|Teruel|40.345688|-1.106434|VLC|1.113477808355427|
bo:tarija|bo|Tarija|-21.53|-64.73|TJA|0.024018534509829423|
es:toledo|es|Toledo|39.8628316|-4.0273231|XTJ|0.011411652473238991|
mx:torreón|mx|Torreón|25.542844|-103.406786|TRC|0.030290251435077267|
pe:tarapoto|pe|Tarapoto|-6.482478|-76.372689|TPP|0.11078407469037278|
pe:trujillo|pe|Trujillo|-8112.0|-79.0288|CTF|8038.55424668243|
ar:tucumán|ar|Tucumán|-26.817993843203773|-65.20895116866774|TUC|0.007904431128842792|
