"Id"|"CityCode"|"CountryId"|"DescriptionES"|"DescriptionEN"|"DescriptionPT"|"Latitude"|"Longitude"|"ProvinceId"|"IsSearchable"|"IsSearchableBus"|"TimeZone"
152|ASJ|102|Amami O Shima|Amami O Shima|Amami O Shima|28.2678467|129.3621196||1|0|Tokyo Standard Time
153|ASK|39|Yamoussouro|Yamoussouro|Yamoussouro|6.8184|-5.2755||1|0|Greenwich Standard Time
154|ASL|212|Marhsall|Marhsall|Marhsall|32.537|-94.3515|TX|1|0|Central Standard Time
155|ASM|61|Asmara|Asmara|Asmara|15.3333|38.9333||1|0|E. Africa Standard Time
156|ASP|12|Alice Springs|Alice Springs|Alice Springs|-23.701|133.88||1|0|AUS Central Standard Time
157|ASR|204|Kayseri|Kayseri|Kayseri|38.735|35.49||1|0|Turkey Standard Time
158|ASU|170|Asunción|Asuncion|Asuncion|-25.2964|-57.6415||1|0|Paraguay Standard Time
159|ASW|59|Aswan|Aswan|Aswan|24.0875|32.8989||1|0|Egypt Standard Time
160|ATC|27|Arthurs Town|Arthurs Town|Arthurs Town|24.6233771|-75.6702647||1|0|Eastern Standard Time
161|ATG|83|Antigua Guatemala|Antigua Guatemala|Antigua Guatemala|14.5667|-90.7333||1|0|Pakistan Standard Time
162|ATH|82|Atenas|Athens|Athens|37.9833|23.7333||1|0|GTB Standard Time
163|ATL|212|Atlanta|Atlanta|Atlanta|33.7627|-84.4231|GA|1|0|Eastern Standard Time
164|ATM|26|Altamira|Altamira|Altamira|-3.1996|-52.21|BR_PA|1|0|SA Western Standard Time
165|ATO|212|Athens|Athens|Athens|39.3269|-82.0988|OH|1|0|Eastern Standard Time
166|ATT|83|Atitlan|Atitlan|Atitlan|13.9358|-90.7047||1|0|Alaskan Standard Time
167|ATW|212|Appleton|Appleton|Appleton|44.2775|-88.3896|WI|1|0|Central Standard Time
168|ATY|212|Watertown|Watertown|Watertown|44.9096|-97.1539|SD|1|0|Central Standard Time
169|AUA|234|Aruba|Aruba|Aruba|12.5182104|-70.2475666||1|0|SA Western Standard Time
170|AUG|212|Augusta|Augusta|Augusta|44.3341|-69.7319|ME|1|0|Eastern Standard Time
171|AUH|2|Abu Dhabi|Abu Dhabi|Abu Dhabi|24.4667|54.3666||1|0|Arabian Standard Time
172|AUO|212|Auburn|Auburn|Auburn|32.6084|-85.4897|AL|1|0|Central Standard Time
173|AUQ|161|Atuona|Atuona|Atuona|-9.8|-139.0333||1|0|Marquesas Standard Time
174|AUR|69|Aurillac|Aurillac|Aurillac|44.9214|2.4373||1|0|Romance Standard Time
175|AUS|212|Austin|Austin|Austin|30.3038|-97.7545|TX|1|0|Central Standard Time
176|AUW|212|Wausau|Wausau|Wausau|44.9616|-89.6439|WI|1|0|Central Standard Time
177|AUX|26|Araguaina|Araguaina|Araguaína, TO|-7.19|-48.21|BR_TO|1|0|Tocantins Standard Time
178|AUZ|212|Aurora|Aurora|Aurora|41.7638|-88.2901|IL|1|0|Central Standard Time
179|AVI|46|Ciego De Avila|Ciego De Avila|Ciego De Avila|21.84|-78.7619||1|0|Cuba Standard Time
180|AVL|212|Asheville|Asheville|Asheville|35.5703|-82.5536|NC|1|0|Eastern Standard Time
181|AVN|69|Avignon|Avignon|Avignon|43.9454|4.8102||1|0|Romance Standard Time
182|AVP|212|Scranton|Scranton|Scranton|41.4043|-75.6649|PA|1|0|Eastern Standard Time
183|AVV|12|Avalon|Avalon|Avalon|-33.6333|151.3333||1|0|AUS Eastern Standard Time
184|AVX|212|Catalina Island|Catalina Island|Catalina Island|33.3878856|-118.4163103|CA|1|0|Pacific Standard Time
185|AXA|5|Anguilla|Anguilla|Anguilla|18.220554|-63.068615||1|0|SA Western Standard Time
186|AXD|82|Alexandroupolis|Alexandroupolis|Alexandroupolis|40.8486|25.8744||1|0|GTB Standard Time
187|AXM|44|Armenia|Armenia|Armenia|4.5343|-75.6811|CO23|1|0|SA Pacific Standard Time
188|AXN|212|Alexandria|Alexandria|Alexandria|45.8748|-95.3784|MN|1|0|Central Standard Time
189|AXT|102|Akita|Akita|Akita|39.71|140.09||1|0|Tokyo Standard Time
190|AXV|212|Wapakoneta|Wapakoneta|Wapakoneta|40.5676|-84.1917|OH|1|0|Eastern Standard Time
191|AYQ|12|Ayers Rock|Ayers Rock|Ayers Rock|-25.3569|131.0608||1|0|AUS Central Standard Time
192|AYR|12|Ayr Au|Ayr Au|Ayr Au|-19.5702|147.3995||1|0|E. Australia Standard Time
193|AYS|212|Waycross|Waycross|Waycross|31.211|-82.3578|GA|1|0|Eastern Standard Time
194|AYT|204|Antalya|Antalya|Antalya|36.89|30.7||1|0|Turkey Standard Time
195|AZD|97|Yazd|Yazd|Yazd|31.9201|54.37||1|0|Iran Standard Time
196|AZG|143|Apatzingan|Apatzingan|Apatzingan|19.08|-102.35|MX_MIC|1|0|Central Standard Time (Mexico)
