"Id"|"CityCode"|"CountryId"|"DescriptionES"|"DescriptionEN"|"DescriptionPT"|"Latitude"|"Longitude"|"ProvinceId"|"IsSearchable"|"IsSearchableBus"|"TimeZone"
9322|BR_3307|26|Jordânia|Jordânia|Jordânia|-15.9018|-40.1766|BR_MG|0|0|
9323|BR_3308|26|José Gonçalves de Minas|José Gonçalves de Minas|José Gonçalves de Minas|-16.9078|-42.6064|BR_MG|0|0|
9324|BR_3309|26|José Raydan|José Raydan|José Raydan|-18.2|-42.5|BR_MG|0|0|
9325|BR_331|26|Acajutiba|Acajutiba|Acajutiba|-11.6604|-38.0179|BR_BA|0|0|
9327|BR_3311|26|Josenópolis|Josenópolis|Josenópolis|-16.5462|-42.5155|BR_MG|0|0|
9328|BR_3312|26|Juatuba|Juatuba|Juatuba|-19.9511|-44.3405|BR_MG|0|0|
9332|BR_3317|26|Juramento|Juramento|Juramento|-16.8487|-43.587|BR_MG|0|0|
9334|BR_3319|26|Juruaia|Juruaia|Juruaia|-21.2516|-46.5754|BR_MG|0|0|
9338|BR_3322|26|Juvenília|Juvenília|Juvenília|0.0|0.0|BR_MG|0|0|
9340|BR_3324|26|Ladainha|Ladainha|Ladainha|-17.6494|-41.7269|BR_MG|0|0|
9341|BR_3325|26|Lagamar|Lagamar|Lagamar|-18.1827|-46.8013|BR_MG|0|0|
9343|BR_3327|26|Lagoa da Prata|Lagoa da Prata|Lagoa da Prata|-20.0208|-45.5407|BR_MG|0|0|
9344|BR_3328|26|Lagoa dos Patos|Lagoa dos Patos|Lagoa dos Patos|-16.979|-44.5772|BR_MG|0|0|
9345|BR_3329|26|Lagoa Dourada|Lagoa Dourada|Lagoa Dourada|-20.9153|-44.0711|BR_MG|0|0|
9347|BR_3330|26|Lagoa Formosa|Lagoa Formosa|Lagoa Formosa|-18.7758|-46.4015|BR_MG|0|0|
9348|BR_3331|26|Lagoa Grande|Lagoa Grande|Lagoa Grande|-15.7|-41.8167|BR_MG|0|0|
9349|BR_3332|26|Lagoa Santa|Lagoa Santa|Lagoa Santa, MG|-19.6333|-43.8833|BR_MG|1|0|
9350|BR_3333|26|Lajinha|Lajinha|Lajinha|-20.1527|-41.6202|BR_MG|0|0|
9351|BR_3334|26|Lambari|Lambari|Lambari|-21.9726|-45.3447|BR_MG|1|0|
9352|BR_3335|26|Lamim|Lamim|Lamim|-20.7833|-43.4667|BR_MG|0|0|
9355|BR_3338|26|Laranjal|Laranjal|Laranjal|-21.3667|-42.4667|BR_MG|0|0|
9358|BR_3340|26|Lassance|Lassance|Lassance|-17.8866|-44.5737|BR_MG|0|0|
9359|BR_3341|26|Lavras|Lavras|Lavras|-21.2496|-45.01|BR_MG|0|0|
9360|BR_3342|26|Leandro Ferreira|Leandro Ferreira|Leandro Ferreira|-19.7|-45.0333|BR_MG|0|0|
9361|BR_3343|26|Leme do Prado|Leme do Prado|Leme do Prado|-17.0833|-42.6667|BR_MG|0|0|
9362|BR_3344|26|Leopoldina|Leopoldina|Leopoldina|-21.53|-42.64|BR_MG|0|0|
9364|BR_3346|26|Liberdade|Liberdade|Liberdade|-22.0296|-44.3172|BR_MG|0|0|
9365|BR_3347|26|Lima Duarte|Lima Duarte|Lima Duarte|-21.8414|-43.7915|BR_MG|0|0|
9366|BR_3348|26|Limeira do Oeste|Limeira do Oeste|Limeira do Oeste|-19.553|-50.5783|BR_MG|0|0|
9368|BR_335|26|Adustina|Adustina|Adustina|-10.5475|-38.1132|BR_BA|0|0|
9370|BR_3351|26|Lontra|Lontra|Lontra|-15.9038|-44.3044|BR_MG|0|0|
9373|BR_3354|26|Luisburgo|Luisburgo|Luisburgo|-20.4333|-42.1|BR_MG|0|0|
9374|BR_3355|26|Luislândia|Luislândia|Luislândia|-16.0717|-44.6592|BR_MG|0|0|
9377|BR_3358|26|Luminárias|Luminárias|Luminárias|-21.512|-44.9029|BR_MG|0|0|
9380|BR_3360|26|Luz|Luz|Luz|-19.7987|-45.6777|BR_MG|1|0|
9382|BR_3362|26|Machacalis|Machacalis|Machacalis|-17.0769|-40.7169|BR_MG|0|0|
9383|BR_3363|26|Machado|Machado|Machado|-21.6773|-45.9172|BR_MG|0|0|
9386|BR_3366|26|Madre de Deus de Minas|Madre de Deus de Minas|Madre de Deus de Minas|-21.4827|-44.3256|BR_MG|0|0|
9391|BR_3370|26|Malacacheta|Malacacheta|Malacacheta|-17.8428|-42.0812|BR_MG|0|0|
9392|BR_3371|26|Mamonas|Mamonas|Mamonas|-15.0515|-42.9469|BR_MG|0|0|
9393|BR_3372|26|Manga|Manga|Manga|-14.7494|-43.9333|BR_MG|0|0|
9394|BR_3373|26|Manhuaçu|Manhuaçu|Manhuaçu|-20.2575|-42.0361|BR_MG|0|0|
9395|BR_3374|26|Manhumirim|Manhumirim|Manhumirim|-20.3576|-41.9545|BR_MG|0|0|
9396|BR_3375|26|Mantena|Mantena|Mantena|-18.778|-40.9826|BR_MG|0|0|
9399|BR_3378|26|Mar de Espanha|Mar de Espanha|Mar de Espanha|-21.8658|-43.0097|BR_MG|0|0|
9402|BR_3380|26|Maravilhas|Maravilhas|Maravilhas|-19.5172|-44.674|BR_MG|0|0|
9403|BR_3381|26|Maria da Fé|Maria da Fé|Maria da Fé|-22.3|-45.3833|BR_MG|0|0|
9404|BR_3382|26|Mariana|Mariana|Mariana|-20.3792|-43.4167|BR_MG|0|0|
9405|BR_3383|26|Marilac|Marilac|Marilac|-18.5072|-42.0824|BR_MG|0|0|
9407|BR_3385|26|Mário Campos|Mário Campos|Mário Campos|-20.0527|-44.1827|BR_MG|0|0|
9408|BR_3386|26|Maripá de Minas|Maripá de Minas|Maripá de Minas|0.0|0.0|BR_MG|0|0|
9409|BR_3387|26|Marliéria|Marliéria|Marliéria|-19.7167|-42.75|BR_MG|0|0|
9410|BR_3388|26|Marmelópolis|Marmelópolis|Marmelópolis|-22.4492|-45.1607|BR_MG|0|0|
9412|BR_339|26|Água Fria|Água Fria|Água Fria|-14.9818|-47.7827|BR_BA|0|0|
9413|BR_3390|26|Martinho Campos|Martinho Campos|Martinho Campos|-19.3343|-45.2364|BR_MG|0|0|
9415|BR_3392|26|Martins Soares|Martins Soares|Martins Soares|-20.25|-41.8833|BR_MG|0|0|
9416|BR_3393|26|Mata Verde|Mata Verde|Mata Verde|-15.689|-40.7394|BR_MG|0|0|
9417|BR_3394|26|Materlândia|Materlândia|Materlândia|-18.4747|-43.0562|BR_MG|0|0|
9418|BR_3395|26|Mateus Leme|Mateus Leme|Mateus Leme|-19.9899|-44.4288|BR_MG|0|0|
9419|BR_3396|26|Mathias Lobato|Mathias Lobato|Mathias Lobato|0.0|0.0|BR_MG|0|0|
9420|BR_3397|26|Matias Barbosa|Matias Barbosa|Matias Barbosa|-21.8719|-43.3197|BR_MG|0|0|
9421|BR_3398|26|Matias Cardoso|Matias Cardoso|Matias Cardoso|-14.8532|-43.9167|BR_MG|0|0|
9422|BR_3399|26|Matipó|Matipó|Matipó|-20.2857|-42.3398|BR_MG|0|0|
9425|BR_3400|26|Mato Verde|Mato Verde|Mato Verde|-15.3974|-42.862|BR_MG|0|0|
9426|BR_3401|26|Matozinhos|Matozinhos|Matozinhos|-19.5617|-44.0791|BR_MG|0|0|
9427|BR_3402|26|Matutina|Matutina|Matutina|-19.2167|-45.9667|BR_MG|0|0|
9428|BR_3403|26|Medeiros|Medeiros|Medeiros|-19.9947|-46.2164|BR_MG|0|0|
9429|BR_3404|26|Medina|Medina|Medina|-16.2247|-41.4768|BR_MG|0|0|
9432|BR_3407|26|Mendes Pimentel|Mendes Pimentel|Mendes Pimentel|-18.6578|-41.4015|BR_MG|0|0|
9434|BR_3409|26|Mercês|Mercês|Mercês|-21.1953|-43.3405|BR_MG|0|0|
9435|BR_341|26|Aiquara|Aiquara|Aiquara|-14.0985|-39.9026|BR_BA|0|0|
9437|BR_3411|26|Mesquita|Mesquita|Mesquita|-19.2217|-42.611|BR_MG|0|0|
9442|BR_3416|26|Minas Novas|Minas Novas|Minas Novas|-17.2463|-42.6016|BR_MG|0|0|
9443|BR_3417|26|Minduri|Minduri|Minduri|-21.6775|-44.6106|BR_MG|0|0|
9444|BR_3418|26|Mirabela|Mirabela|Mirabela|-16.2574|-44.1585|BR_MG|0|0|
9445|BR_3419|26|Miradouro|Miradouro|Miradouro|-20.8833|-42.35|BR_MG|0|0|
9446|BR_342|26|Alagoinhas|Alagoinhas|Alagoinhas, BA|-12.14|-38.43|BR_BA|1|0|
9448|BR_3421|26|Miraí|Miraí|Miraí|-21.2004|-42.6115|BR_MG|0|0|
9452|BR_3425|26|Miravânia|Miravânia|Miravânia|0.0|0.0|BR_MG|0|0|
9456|BR_3429|26|Moeda|Moeda|Moeda|-18.6833|-49.1667|BR_MG|0|0|
9457|BR_343|26|Alcobaça|Alcobaça|Alcobaça|-17.5|-39.2167|BR_BA|0|0|
9458|BR_3430|26|Moema|Moema|Moema|-19.8333|-45.4|BR_MG|0|0|
9460|BR_3432|26|Monjolos|Monjolos|Monjolos|-18.3|-44.0833|BR_MG|0|0|
9464|BR_3436|26|Monsenhor Paulo|Monsenhor Paulo|Monsenhor Paulo|-21.7564|-45.5384|BR_MG|0|0|
9465|BR_3437|26|Montalvânia|Montalvânia|Montalvânia|-14.4248|-44.3655|BR_MG|0|0|
9466|BR_3438|26|Monte Alegre de Minas|Monte Alegre de Minas|Monte Alegre de Minas|-18.8708|-48.8741|BR_MG|0|0|
9467|BR_3439|26|Monte Azul|Monte Azul|Monte Azul|-15.1531|-42.8719|BR_MG|0|0|
9469|BR_3440|26|Monte Belo|Monte Belo|Monte Belo|-21.3269|-46.3654|BR_MG|0|0|
9470|BR_3441|26|Monte Carmelo|Monte Carmelo|Monte Carmelo|-18.7288|-47.4952|BR_MG|0|0|
9472|BR_3443|26|Monte Formoso|Monte Formoso|Monte Formoso|0.0|0.0|BR_MG|0|0|
9474|BR_3445|26|Monte Santo de Minas|Monte Santo de Minas|Monte Santo de Minas|-21.1881|-46.9723|BR_MG|0|0|
9475|BR_3446|26|Monte Sião|Monte Sião|Monte Sião|-22.4338|-46.5679|BR_MG|0|0|
9477|BR_3449|26|Montezuma|Montezuma|Montezuma|-15.1728|-42.4944|BR_MG|0|0|
9479|BR_3450|26|Morada Nova de Minas|Morada Nova de Minas|Morada Nova de Minas|-18.6038|-45.3554|BR_MG|0|0|
9481|BR_3452|26|Morro da Garça|Morro da Garça|Morro da Garça|-18.5447|-44.599|BR_MG|0|0|
9483|BR_3454|26|Morro do Pilar|Morro do Pilar|Morro do Pilar|-19.2186|-43.378|BR_MG|0|0|
9487|BR_3458|26|Munhoz|Munhoz|Munhoz|-22.6135|-46.3588|BR_MG|0|0|
9490|BR_3460|26|Muriaé|Muriaé|Muriaé|-21.13|-42.39|BR_MG|1|0|
9491|BR_3461|26|Mutum|Mutum|Mutum|-19.8168|-41.4364|BR_MG|0|0|
9492|BR_3462|26|Muzambinho|Muzambinho|Muzambinho|-21.3721|-46.5212|BR_MG|0|0|
9493|BR_3463|26|Nacip Raydan|Nacip Raydan|Nacip Raydan|-18.4553|-42.2498|BR_MG|0|0|
9494|BR_3464|26|Nanuque|Nanuque|Nanuque|-17.84|-40.35|BR_MG|0|0|
9495|BR_3465|26|Naque|Naque|Naque|-19.2263|-42.3265|BR_MG|0|0|
9497|BR_3467|26|Natalândia|Natalândia|Natalândia|0.0|0.0|BR_MG|0|0|
9498|BR_3468|26|Natércia|Natércia|Natércia|-22.1179|-45.5097|BR_MG|0|0|
9500|BR_347|26|Almadina|Almadina|Almadina|-14.704|-39.6375|BR_BA|0|0|
9501|BR_3470|26|Nazareno|Nazareno|Nazareno|-21.2165|-44.6129|BR_MG|0|0|
9504|BR_3473|26|Nepomuceno|Nepomuceno|Nepomuceno|-21.2371|-45.2317|BR_MG|0|0|
9507|BR_3476|26|Ninheira|Ninheira|Ninheira|-15.3201|-41.7521|BR_MG|0|0|
9508|BR_3477|26|Nova Belém|Nova Belém|Nova Belém|0.0|0.0|BR_MG|0|0|
9509|BR_3478|26|Nova Era|Nova Era|Nova Era|-19.7739|-43.0295|BR_MG|0|0|
9512|BR_3480|26|Nova Lima|Nova Lima|Nova Lima|-19.98|-43.85|BR_MG|1|0|
9514|BR_3482|26|Nova Módica|Nova Módica|Nova Módica|-18.4333|-41.5|BR_MG|0|0|
9515|BR_3483|26|Nova Ponte|Nova Ponte|Nova Ponte|-19.1361|-47.6783|BR_MG|0|0|
9516|BR_3484|26|Nova Porteirinha|Nova Porteirinha|Nova Porteirinha|0.0|0.0|BR_MG|0|0|
9517|BR_3485|26|Nova Resende|Nova Resende|Nova Resende|-21.1254|-46.4181|BR_MG|0|0|
9518|BR_3486|26|Nova Serrana|Nova Serrana|Nova Serrana|-19.8787|-44.9816|BR_MG|1|0|
9519|BR_3487|26|Nova União|Nova União|Nova União|0.0|0.0|BR_MG|0|0|
9521|BR_3489|26|Novo Cruzeiro|Novo Cruzeiro|Novo Cruzeiro|-17.4777|-41.8725|BR_MG|0|0|
9524|BR_3491|26|Novo Oriente de Minas|Novo Oriente de Minas|Novo Oriente de Minas|0.0|0.0|BR_MG|0|0|
9525|BR_3492|26|Novorizonte|Novorizonte|Novorizonte|0.0|0.0|BR_MG|0|0|
9527|BR_3494|26|Olaria|Olaria|Olaria|-22.851|-43.2698|BR_MG|0|0|
9530|BR_3497|26|Olhos D'Água|Olhos D'Água|Olhos D'Água|-17.3968|-43.5716|BR_MG|0|0|
9532|BR_3499|26|Olímpio Noronha|Olímpio Noronha|Olímpio Noronha|-22.0708|-45.2612|BR_MG|0|0|
9535|BR_3500|26|Oliveira|Oliveira|Oliveira|-20.6979|-44.8218|BR_MG|0|0|
9536|BR_3501|26|Oliveira Fortes|Oliveira Fortes|Oliveira Fortes|-21.3333|-43.45|BR_MG|0|0|
9537|BR_3502|26|Onça de Pitangui|Onça de Pitangui|Onça de Pitangui|-19.7311|-44.803|BR_MG|0|0|
9538|BR_3503|26|Oratórios|Oratórios|Oratórios|-20.4333|-42.8|BR_MG|0|0|
9539|BR_3504|26|Orizânia|Orizânia|Orizânia|-20.5|-42.2167|BR_MG|0|0|
9540|BR_3505|26|Ouro Branco|Ouro Branco|Ouro Branco|-20.5333|-43.7|BR_MG|0|0|
9541|BR_3506|26|Ouro Fino|Ouro Fino|Ouro Fino|-22.2807|-46.3683|BR_MG|0|0|
9542|BR_3507|26|Ouro Preto|Ouro Preto|Ouro Preto|-20.3874|-43.5067|BR_MG|1|0|
9543|BR_3508|26|Ouro Verde de Minas|Ouro Verde de Minas|Ouro Verde de Minas|-18.0673|-41.2715|BR_MG|0|0|
9545|BR_351|26|Amargosa|Amargosa|Amargosa|-13.0323|-39.6008|BR_BA|0|0|
9547|BR_3511|26|Padre Carvalho|Padre Carvalho|Padre Carvalho|-16.3668|-42.5132|BR_MG|0|0|
9552|BR_3516|26|Padre Paraíso|Padre Paraíso|Padre Paraíso|-17.1126|-41.5255|BR_MG|0|0|
9555|BR_3519|26|Pai Pedro|Pai Pedro|Pai Pedro|-15.5331|-43.0667|BR_MG|0|0|
9556|BR_352|26|Amélia Rodrigues|Amélia Rodrigues|Amélia Rodrigues|0.0|0.0|BR_BA|0|0|
9557|BR_3520|26|Paineiras|Paineiras|Paineiras|-18.9041|-45.5308|BR_MG|0|0|
9558|BR_3521|26|Pains|Pains|Pains|-20.3686|-45.6598|BR_MG|0|0|
9560|BR_3523|26|Paiva|Paiva|Paiva|-21.3|-43.4167|BR_MG|0|0|
9561|BR_3524|26|Palma|Palma|Palma|-21.3667|-42.3167|BR_MG|0|0|
9565|BR_3528|26|Palmópolis|Palmópolis|Palmópolis|-16.7352|-40.4192|BR_MG|0|0|
9567|BR_353|26|América Dourada|América Dourada|América Dourada|-11.4504|-41.436|BR_BA|0|0|
9568|BR_3530|26|Papagaios|Papagaios|Papagaios|-19.4512|-44.7452|BR_MG|0|0|
9569|BR_3531|26|Pará de Minas|Pará de Minas|Pará de Minas|-19.8614|-44.6059|BR_MG|1|0|
9570|BR_3532|26|Paracatu|Paracatu|Paracatu, MG|-17.1996|-46.87|BR_MG|1|0|
9571|BR_3533|26|Paraguaçu|Paraguaçu|Paraguaçu|-21.551|-45.7308|BR_MG|0|0|
9574|BR_3536|26|Paraisópolis|Paraisópolis|Paraisópolis|-22.5567|-45.7778|BR_MG|0|0|
9575|BR_3537|26|Paraopeba|Paraopeba|Paraopeba|-19.2799|-44.4002|BR_MG|0|0|
9581|BR_3542|26|Passa Quatro|Passa Quatro|Passa Quatro|-22.3838|-44.9606|BR_MG|0|0|
9582|BR_3543|26|Passa Tempo|Passa Tempo|Passa Tempo|-20.6509|-44.489|BR_MG|0|0|
9583|BR_3544|26|Passa Vinte|Passa Vinte|Passa Vinte|-22.2072|-44.2351|BR_MG|0|0|
9584|BR_3545|26|Passabém|Passabém|Passabém|-19.3523|-43.1372|BR_MG|0|0|
9586|BR_3547|26|Passos|Passos|Passos|-20.71|-46.61|BR_MG|1|0|
9587|BR_3548|26|Patis|Patis|Patis|-16.0801|-44.0808|BR_MG|0|0|
9588|BR_3549|26|Patos de Minas|Patos de Minas|Patos de Minas|-18.5881|-46.5141|BR_MG|1|0|
9589|BR_355|26|Anagé|Anagé|Anagé|-14.6104|-41.1345|BR_BA|0|0|
9591|BR_3551|26|Patrocínio|Patrocínio|Patrocínio|-18.9415|-46.9942|BR_MG|0|0|
9592|BR_3552|26|Patrocínio do Muriaé|Patrocínio do Muriaé|Patrocínio do Muriaé|-21.15|-42.2|BR_MG|0|0|
9593|BR_3553|26|Paula Cândido|Paula Cândido|Paula Cândido|-20.8833|-42.9667|BR_MG|0|0|
9595|BR_3555|26|Paulistas|Paulistas|Paulistas|-18.4253|-42.8681|BR_MG|0|0|
9596|BR_3556|26|Pavão|Pavão|Pavão|-17.428|-40.9985|BR_MG|0|0|
9598|BR_3558|26|Peçanha|Peçanha|Peçanha|-18.55|-42.5667|BR_MG|0|0|
9599|BR_3559|26|Pedra Azul|Pedra Azul|Pedra Azul|-15.9915|-41.2767|BR_MG|0|0|
9600|BR_356|26|Andaraí|Andaraí|Andaraí|-22.9311|-43.2532|BR_BA|0|0|
9601|BR_3560|26|Pedra Bonita|Pedra Bonita|Pedra Bonita|-20.5167|-42.3333|BR_MG|0|0|
9603|BR_3562|26|Pedra do Anta|Pedra do Anta|Pedra do Anta|-20.6|-42.7167|BR_MG|0|0|
9604|BR_3563|26|Pedra do Indaiá|Pedra do Indaiá|Pedra do Indaiá|-20.2549|-45.2053|BR_MG|0|0|
9606|BR_3565|26|Pedra Dourada|Pedra Dourada|Pedra Dourada|-20.8167|-42.1667|BR_MG|0|0|
9609|BR_3568|26|Pedralva|Pedralva|Pedralva|-22.2427|-45.4612|BR_MG|0|0|
9610|BR_3569|26|Pedras de Maria da Cruz|Pedras de Maria da Cruz|Pedras de Maria da Cruz|-15.6069|-44.3887|BR_MG|0|0|
9611|BR_357|26|Andorinha|Andorinha|Andorinha|-10.3449|-39.834|BR_BA|0|0|
9612|BR_3570|26|Pedrinópolis|Pedrinópolis|Pedrinópolis|-19.2167|-47.4667|BR_MG|0|0|
9613|BR_3571|26|Pedro Leopoldo|Pedro Leopoldo|Pedro Leopoldo|-19.6246|-44.0362|BR_MG|0|0|
9615|BR_3573|26|Pedro Teixeira|Pedro Teixeira|Pedro Teixeira|-21.7074|-43.7436|BR_MG|0|0|
9622|BR_358|26|Angical|Angical|Angical|-11.2667|-43.1833|BR_BA|0|0|
9624|BR_3581|26|Pequeri|Pequeri|Pequeri|-21.8375|-43.1205|BR_MG|0|0|
9625|BR_3582|26|Pequi|Pequi|Pequi|-19.6326|-44.6563|BR_MG|0|0|
9626|BR_3583|26|Perdigão|Perdigão|Perdigão|-19.953|-45.079|BR_MG|0|0|
9628|BR_3585|26|Perdizes|Perdizes|Perdizes|-19.3542|-47.2967|BR_MG|0|0|
9629|BR_3586|26|Perdões|Perdões|Perdões|-21.0912|-45.0864|BR_MG|0|0|
9631|BR_3588|26|Periquito|Periquito|Periquito|-12.0167|-38.7833|BR_MG|0|0|
9634|BR_3590|26|Pescador|Pescador|Pescador|-18.3537|-41.5985|BR_MG|0|0|
9638|BR_3594|26|Piau|Piau|Piau|-6.2333|-35.1333|BR_MG|0|0|
9640|BR_3596|26|Piedade de Caratinga|Piedade de Caratinga|Piedade de Caratinga|-19.7667|-42.0833|BR_MG|0|0|
9641|BR_3597|26|Piedade de Ponte Nova|Piedade de Ponte Nova|Piedade de Ponte Nova|-20.2333|-42.7333|BR_MG|0|0|
9643|BR_3599|26|Piedade do Rio Grande|Piedade do Rio Grande|Piedade do Rio Grande|-21.4679|-44.1904|BR_MG|0|0|
9644|BR_36|26|Barra de Santo Antônio|Barra de Santo Antônio|Barra de Santo Antônio|-9.4|-35.5|BR_AL|0|0|
9645|BR_360|26|Anguera|Anguera|Anguera|-12.1517|-39.2445|BR_BA|0|0|
9646|BR_3600|26|Piedade dos Gerais|Piedade dos Gerais|Piedade dos Gerais|-20.4683|-44.2191|BR_MG|0|0|
9648|BR_3602|26|Pimenta|Pimenta|Pimenta|-2.4833|-44.2333|BR_MG|0|0|
9650|BR_3604|26|Pingo-D'Água|Pingo-D'Água|Pingo-D'Água|0.0|0.0|BR_MG|0|0|
9654|BR_3608|26|Pintópolis|Pintópolis|Pintópolis|0.0|0.0|BR_MG|0|0|
9656|BR_361|26|Antas|Antas|Antas|-14.3333|-42.4167|BR_BA|0|0|
9658|BR_3611|26|Piracema|Piracema|Piracema|-20.5167|-44.4833|BR_MG|0|0|
9659|BR_3612|26|Pirajuba|Pirajuba|Pirajuba|-19.9077|-48.6984|BR_MG|0|0|
9660|BR_3613|26|Piranga|Piranga|Piranga|-20.6833|-43.3|BR_MG|0|0|
9661|BR_3614|26|Piranguçu|Piranguçu|Piranguçu|-22.5297|-45.4913|BR_MG|0|0|
9662|BR_3615|26|Piranguinho|Piranguinho|Piranguinho|-22.4019|-45.5295|BR_MG|0|0|
9665|BR_3618|26|Pirapetinga|Pirapetinga|Pirapetinga|-21.6557|-42.3458|BR_MG|0|0|
9666|BR_3619|26|Pirapora|Pirapora|Pirapora|-17.33|-44.93|BR_MG|0|0|
9667|BR_362|26|Antônio Cardoso|Antônio Cardoso|Antônio Cardoso|-12.4372|-39.1199|BR_BA|0|0|
9668|BR_3620|26|Piraúba|Piraúba|Piraúba|-21.2833|-43.0333|BR_MG|0|0|
9671|BR_3623|26|Pitangui|Pitangui|Pitangui|-5.6333|-35.2333|BR_MG|0|0|
9673|BR_3625|26|Piumhi|Piumhi|Piumhi|-20.4717|-45.9572|BR_MG|0|0|
9675|BR_3627|26|Planura|Planura|Planura|-20.1391|-48.7043|BR_MG|0|0|
9678|BR_363|26|Antônio Gonçalves|Antônio Gonçalves|Antônio Gonçalves|-10.5734|-40.2748|BR_BA|0|0|
9679|BR_3630|26|Poço Fundo|Poço Fundo|Poço Fundo|-21.785|-45.963|BR_MG|0|0|
9681|BR_3632|26|Poços de Caldas|Poços de Caldas|Poços de Caldas|-21.78|-46.57|BR_MG|1|0|
9682|BR_3633|26|Pocrane|Pocrane|Pocrane|-19.6192|-41.6342|BR_MG|0|0|
9683|BR_3634|26|Pompéu|Pompéu|Pompéu|-19.2248|-44.9986|BR_MG|0|0|
9689|BR_364|26|Aporá|Aporá|Aporá, BA|-11.65|-38.0833|BR_BA|0|0|
9691|BR_3641|26|Ponte Nova|Ponte Nova|Ponte Nova|-20.4096|-42.9|BR_MG|0|0|
9694|BR_3644|26|Ponto Chique|Ponto Chique|Ponto Chique|0.0|0.0|BR_MG|0|0|
9697|BR_3647|26|Ponto dos Volantes|Ponto dos Volantes|Ponto dos Volantes|0.0|0.0|BR_MG|0|0|
9698|BR_3648|26|Porteirinha|Porteirinha|Porteirinha|-15.744|-43.0243|BR_MG|0|0|
9700|BR_365|26|Apuarema|Apuarema|Apuarema, BA|-13.8577|-39.7451|BR_BA|0|0|
9703|BR_3652|26|Porto Firme|Porto Firme|Porto Firme|-20.6726|-43.0826|BR_MG|0|0|
9704|BR_3653|26|Poté|Poté|Poté|-17.8249|-41.8039|BR_MG|0|0|
9705|BR_3654|26|Pouso Alegre|Pouso Alegre|Pouso Alegre|-22.22|-45.94|BR_MG|1|0|
9706|BR_3655|26|Pouso Alto|Pouso Alto|Pouso Alto|-24.7286|-48.141|BR_MG|0|0|
9707|BR_3656|26|Prados|Prados|Prados|-21.0585|-44.0764|BR_MG|0|0|
9708|BR_3657|26|Prata|Prata|Prata|-20.0667|-41.5167|BR_MG|0|0|
9709|BR_3658|26|Pratápolis|Pratápolis|Pratápolis|-20.7449|-46.8593|BR_MG|0|0|
9710|BR_3659|26|Pratinha|Pratinha|Pratinha|-19.7537|-46.377|BR_MG|0|0|
9711|BR_366|26|Araçás|Araçás|Araçás|-12.2114|-38.2023|BR_BA|0|0|
9712|BR_3660|26|Presidente Bernardes|Presidente Bernardes|Presidente Bernardes|-20.7667|-43.2|BR_MG|0|0|
9713|BR_3661|26|Presidente Juscelino|Presidente Juscelino|Presidente Juscelino|0.0|0.0|BR_MG|0|0|
9714|BR_3662|26|Presidente Kubitschek|Presidente Kubitschek|Presidente Kubitschek|-18.6163|-43.5604|BR_MG|0|0|
9715|BR_3663|26|Presidente Olegário|Presidente Olegário|Presidente Olegário|-18.4144|-46.4187|BR_MG|0|0|
9719|BR_3667|26|Prudente de Morais|Prudente de Morais|Prudente de Morais|-19.4803|-44.1617|BR_MG|0|0|
9722|BR_367|26|Aracatu|Aracatu|Aracatu|-14.4286|-41.4626|BR_BA|0|0|
9723|BR_3670|26|Quartel Geral|Quartel Geral|Quartel Geral|-19.3|-45.55|BR_MG|0|0|
9726|BR_3673|26|Queluzita|Queluzita|Queluzita|-20.7333|-43.8833|BR_MG|0|0|
9730|BR_3677|26|Raposos|Raposos|Raposos|-19.95|-43.8|BR_MG|0|0|
9731|BR_3678|26|Raul Soares|Raul Soares|Raul Soares|-20.1022|-42.4533|BR_MG|0|0|
9733|BR_368|26|Araci|Araci|Araci|-11.3358|-38.9599|BR_BA|0|0|
9735|BR_3681|26|Recreio|Recreio|Recreio|-11.4667|-43.2167|BR_MG|0|0|
9736|BR_3682|26|Reduto|Reduto|Reduto|-20.2333|-41.9833|BR_MG|0|0|
9737|BR_3683|26|Resende Costa|Resende Costa|Resende Costa|-20.9213|-44.235|BR_MG|0|0|
9738|BR_3684|26|Resplendor|Resplendor|Resplendor|-19.3276|-41.2581|BR_MG|0|0|
9739|BR_3685|26|Ressaquinha|Ressaquinha|Ressaquinha|-21.0667|-43.7667|BR_MG|0|0|
9740|BR_3686|26|Riachinho|Riachinho|Riachinho|0.0|0.0|BR_MG|0|0|
9742|BR_3688|26|Riacho dos Machados|Riacho dos Machados|Riacho dos Machados|-16.0073|-43.0497|BR_MG|0|0|
9743|BR_3689|26|Ribeirão das Neves|Ribeirão das Neves|Ribeirão das Neves|-19.7656|-44.0789|BR_MG|0|0|
9744|BR_369|26|Aramari|Aramari|Aramari|-12.0879|-38.5017|BR_BA|0|0|
9746|BR_3691|26|Ribeirão Vermelho|Ribeirão Vermelho|Ribeirão Vermelho|-21.1852|-45.0562|BR_MG|0|0|
9749|BR_3694|26|Rio Acima|Rio Acima|Rio Acima|-20.0841|-43.7894|BR_MG|0|0|
9750|BR_3695|26|Rio Casca|Rio Casca|Rio Casca|-20.1688|-42.6408|BR_MG|0|0|
9752|BR_3697|26|Rio do Prado|Rio do Prado|Rio do Prado|-16.6073|-40.5681|BR_MG|0|0|
9753|BR_3698|26|Rio Doce|Rio Doce|Rio Doce|-7.95|-34.8333|BR_MG|0|0|
9754|BR_3699|26|Rio Espera|Rio Espera|Rio Espera|-20.85|-43.4833|BR_MG|0|0|
